Materia,Num_Materia,Nom1,Nom2,Nom3,Nom4,Nom5,Nom6,Nom7,Nom8,Nom9,Nom10,Nom11,Nom12,Nom13,Nom14,Nom15,Nom16,Nom17,Nom18,Nom19,Nom20
Análisis Matemático II,39,Análisis Matemático II,Análisis Matemático II/Análisis Matemático II/Análisis Matemático II/Análisis Matemático II/Análisis Matemático II/Análisis Matemático II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Análisis Matemático III,40,Análisis Matemático III,Análisis Matemático III/Análisis Matemático III/Análisis Matemático III/Análisis Matemático III/Análisis Matemático III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modelos de Supervivencia y de Series de Tiempo,41,Estadística III/Estadística III/Estadística III,/Estadística III/Modelos de Supervivencia y de Series de Tiempo/Estadística III,Estadística III,Modelos de Supervivencia y de Series de Tiempo,Series de Tiempo,Series de Tiempo/Series de Tiempo/Series de Tiempo/Series de Tiempo/Series de Tiempo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inferencia Estadística,42,Estadística I/Estadística I/Estadística I/Estadística I/Estadística I/Estadística I,/Estadística I/Estadística I/Inferencia Estadística/Estadística I/Estadística I/Estadística I/Inferencia Estadística,Estadística I,Inferencia Estadística,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Investigación de Operaciones,43,/Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones/Introducción a la Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones,Investigación de Operaciones,Introducción a la Investigación de Operaciones,Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones/Investigación de Operaciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de Redes,44,/Análisis de Redes/Teoría de Redes/Teoría de Redes/Análisis de Redes/Teoría de Redes/Teoría de Redes/Teoría de Redes,Análisis de Redes,Teoría de Redes,Análisis de Redes/Análisis de Redes/Análisis de Redes,/Análisis de Redes/Teoría de Redes/Teoría de Redes/Teoría de Redes/Teoría de Redes/Análisis de Redes/Teoría de Redes/Teoría de Redes/Teoría de Redes/Teoría de Redes/Teoría de Redes/Teoría de Redes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cálculo de las Variaciones,45,Cálculo de las Variaciones/Cálculo de las Variaciones/Cálculo de las Variaciones/Cálculo de las Variaciones,Cálculo de las Variaciones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cálculo Diferencial e Integral IV,46,Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV,Cálculo Diferencial e Integral IV,Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV/Cálculo Diferencial e Integral IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cálculo Diferencial e Integral I,47,Cálculo Diferencial e Integral I,Cálculo Diferencial e Integral I/Cálculo Diferencial e Integral I/Cálculo Diferencial e Integral I/Cálculo Diferencial e Integral I/Cálculo Diferencial e Integral I/Cálculo Diferencial e Integral I/Cálculo Diferencial e Integral I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cálculo Diferencial e Integral II,48,Cálculo Diferencial e Integral II/Cálculo Diferencial e Integral II/Cálculo Diferencial e Integral II/Cálculo Diferencial e Integral II/Cálculo Diferencial e Integral II/Cálculo Diferencial e Integral II/Cálculo Diferencial e Integral II,Cálculo Diferencial e Integral II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cálculo Diferencial e Integral III,49,Cálculo Diferencial e Integral III/Cálculo Diferencial e Integral III/Cálculo Diferencial e Integral III/Cálculo Diferencial e Integral III/Cálculo Diferencial e Integral III/Cálculo Diferencial e Integral III/Cálculo Diferencial e Integral III,Cálculo Diferencial e Integral III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manejo de Datos,50,Bases de Datos/Bases de Datos/Bases de Datos/Bases de Datos,/Bases de Datos/Bases de Datos/Bases de Datos/Formación Científica I,Bases de Datos,Formación Científica I,Sistemas Manejadores de Bases de Datos,Sistemas de Bases de Datos,Grandes Bases de Datos,Fundamentos de Bases de Datos,Almacenes y Minería de Datos,Manejo de Datos,Sistemas Manejadores de Bases de Datos/Sistemas Manejadores de Bases de Datos/Sistemas Manejadores de Bases de Datos,/Sistemas de Bases de Datos/Sistemas de Bases de Datos/Fundamentos de Bases de Datos,/Grandes Bases de Datos/Almacenes y Minería de Datos,Manejo de Datos/Manejo de Datos/Manejo de Datos,Programación II/Programación II/Programación II,Programación II,0,0,0,0
Ecuaciones Diferenciales I,51,Ecuaciones Diferenciales I,Ecuaciones Diferenciales I/Ecuaciones Diferenciales I/Ecuaciones Diferenciales I/Ecuaciones Diferenciales I/Ecuaciones Diferenciales I/Ecuaciones Diferenciales I/Ecuaciones Diferenciales I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Análisis Numérico,52,Análisis Numérico,Análisis Numérico II,Temas Selectos de Análisis Numérico,/Análisis Numérico/Análisis Numérico/Análisis Numérico/Análisis Numérico I/Análisis Numérico/Análisis Numérico/Análisis Numérico,Temas Selectos de Análisis Numérico/Temas Selectos de Análisis Numérico/Temas Selectos de Análisis Numérico/Temas Selectos de Análisis Numérico/Temas Selectos de Análisis Numérico/Temas Selectos de Análisis Numérico/Temas Selectos de Análisis Numérico,Análisis Numérico I,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometría Diferencial I,53,Geometría Diferencial I/Geometría Diferencial I/Geometría Diferencial I,Geometría Diferencial I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario sobre Enseñanza de las Matemáticas I,54,Seminario sobre Enseñanza de las Matemáticas I/Seminario sobre Enseñanza de las Matemáticas I/Seminario sobre Enseñanza de las Matemáticas I/Seminario sobre Enseñanza de las Matemáticas I,Seminario sobre Enseñanza de las Matemáticas I,Seminario de Filosofía de la Ciencia I,Seminario de Filosofía de la Ciencia I/Seminario de Filosofía de la Ciencia I/Seminario de Filosofía de la Ciencia I,Didáctica de las Matemáticas/Didáctica de las Matemáticas/Didáctica de las Matemáticas,Didáctica de las Matemáticas,Análisis Numérico/Análisis Numérico/Análisis Numérico/Análisis Numérico/Análisis Numérico/Análisis Numérico/Análisis Numérico,0,0,0,0,0,0,0,0,0,0,0,0,0
Historia de las Matemáticas II,55,Historia de las Matemáticas II/Historia de las Matemáticas II/Historia de las Matemáticas II,Historia de las Matemáticas II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Historia de las Matemáticas I,56,Historia de las Matemáticas I/Historia de las Matemáticas I/Historia de las Matemáticas I,Historia de las Matemáticas I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Modelos no Paramétricos y de Regresión,57,Estadística II,Modelos no Paramétricos y de Regresión,Estadística II/Estadística II/Estadística II/Estadística II/Estadística II,/Estadística II/Estadística II/Modelos no Paramétricos y de Regresión/Estadística II/Estadística II/Modelos no Paramétricos y de Regresión,Análisis de Regresión/Análisis de Regresión/Análisis de Regresión/Análisis de Regresión,Análisis de Regresión,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pensiones Privadas,58,Pensiones Privadas/Pensiones Privadas/Pensiones Privadas/Pensiones Privadas,Pensiones Privadas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría del Seguro,59,Teoría del Seguro/Teoría del Seguro/Teoría del Seguro/Teoría del Seguro,Teoría del Seguro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muestreo,60,Muestreo/Muestreo/Muestreo/Muestreo/Muestreo,Muestreo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lógica Matemática I,61,Lógica Matemática I,Lógica Matemática I/Lógica Matemática I/Lógica Matemática I/Lógica Matemática I/Lógica Matemática I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de los Conjuntos I,62,Teoría de los Conjuntos I/Teoría de los Conjuntos I/Teoría de los Conjuntos I/Teoría de los Conjuntos I,Teoría de los Conjuntos I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingeniería de Software,63,Ingeniería de Software/Ingeniería de Software/Ingeniería de Software/Ingeniería de Software/Ingeniería de Software/Ingeniería de Software,Ingeniería de Software,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Autómatas y Lenguajes Formales,64,/Teoría de la Computación/Teoría de la Computación/Autómatas y Lenguajes Formales/Teoría de la Computación,Teoría de la Computación,Autómatas y Lenguajes Formales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Estructuras Discretas,65,/Matemáticas Discretas/Estructuras Discretas/Matemáticas Discretas,Estructuras Discretas,Matemáticas Discretas,Matemáticas Discretas/Matemáticas Discretas/Matemáticas Discretas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programación,66,Programación I,Programación,Programación I/Programación I/Programación I,Programación/Programación/Programación,/Programación I/Programación I/Programación/Programación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Procesos Estocásticos I,67,/Procesos Estocásticos I/Procesos Estocásticos/Procesos Estocásticos I/Procesos Estocásticos/Procesos Estocásticos I/Procesos Estocásticos I,Procesos Estocásticos I,Procesos Estocásticos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Redes de Computadoras,68,Redes de Computadoras/Redes de Computadoras/Redes de Computadoras/Redes de Computadoras/Redes de Computadoras/Redes de Computadoras,Redes de Computadoras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de los Números I,69,Teoría de los Números I/Teoría de los Números I/Teoría de los Números I/Teoría de los Números I/Teoría de los Números I,Teoría de los Números I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Geometría A,70,Seminario de Geometría A,Seminario de Geometría A/Seminario de Geometría A/Seminario de Geometría A,Álgebra Geométrica,Geometría Algebraica II/Geometría Algebraica II/Geometría Algebraica II,Geometría Algebraica II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario sobre Enseñanza de las Matemáticas II,71,Seminario sobre Enseñanza de las Matemáticas II/Seminario sobre Enseñanza de las Matemáticas II/Seminario sobre Enseñanza de las Matemáticas II/Seminario sobre Enseñanza de las Matemáticas II,Seminario sobre Enseñanza de las Matemáticas II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de los Conjuntos II,72,Teoría de los Conjuntos II,Teoría de los Conjuntos II/Teoría de los Conjuntos II/Teoría de los Conjuntos II/Teoría de los Conjuntos II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variable Compleja II,73,Variable Compleja II/Variable Compleja II/Variable Compleja II/Variable Compleja II,Variable Compleja II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administración Financiera,74,Administración Financiera/Administración Financiera/Administración Financiera/Administración Financiera,Administración Financiera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Matemáticas Actuariales para Seguro de Daños, Fianzas y Reaseguro",75,Fianzas,Matemáticas Actuariales del Seguro de Daños,Reaseguro,Reaseguro Financiero,Matemáticas Actuariales para Seguro de Daños,Fianzas/Fianzas/Fianzas/Fianzas,Matemáticas Actuariales del Seguro de Daños/Matemáticas Actuariales del Seguro de Daños/Matemáticas Actuariales del Seguro de Daños,Reaseguro/Reaseguro/Reaseguro/Reaseguro,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de Juegos en Economía,76,/Teoría de Juegos I/Teoría de Juegos en Economía/Teoría de Juegos en Economía/Teoría de Juegos en Economía/Teoría de Juegos I/Teoría de Juegos I,Teoría de Juegos en Economía,Teoría de Juegos I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administración de Riesgos Financieros,77,Administración de Riesgos Financieros/Administración de Riesgos Financieros/Administración de Riesgos Financieros/Administración de Riesgos Financieros,Administración de Riesgos Financieros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Métodos Cuantitativos en Finanzas,78,Finanzas II,Métodos Cuantitativos en Finanzas,Finanzas II/Finanzas II/Finanzas II,/Finanzas II/Finanzas II/Métodos Cuantitativos en Finanzas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matemáticas Financieras,79,Matemáticas Financieras/Matemáticas Financieras/Matemáticas Financieras/Matemáticas Financieras,Matemáticas Financieras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matemáticas Actuariales del Seguro de Personas II,80,Matemáticas Actuariales del Seguro de Personas II/Matemáticas Actuariales del Seguro de Personas II/Matemáticas Actuariales del Seguro de Personas II/Matemáticas Actuariales del Seguro de Personas II,Matemáticas Actuariales del Seguro de Personas II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Aplicaciones Actuariales,81,Seminario de Matemáticas Actuariales Aplicadas,Seminario de Aplicaciones Actuariales,Seminario de Aplicaciones Actuariales I,Seminario de Aplicaciones Actuariales II,Seminario de Matemáticas Actuariales Aplicadas/Seminario de Matemáticas Actuariales Aplicadas/Seminario de Matemáticas Actuariales Aplicadas,Seminario de Aplicaciones Actuariales/Seminario de Aplicaciones Actuariales/Seminario de Aplicaciones Actuariales,/Seminario de Aplicaciones Actuariales/Seminario de Aplicaciones Actuariales/Seminario de Aplicaciones Actuariales I,/Seminario de Aplicaciones Actuariales/Seminario de Aplicaciones Actuariales/Seminario de Aplicaciones Actuariales II,Seminario de Probabilidad A,Teoría de la Medida II/Teoría de la Medida II/Teoría de la Medida II,Teoría de la Medida II,0,0,0,0,0,0,0,0,0
Mercados Financieros y Valuación de Instrumentos,82,Finanzas I,Valuación de Opciones,Mercados Financieros y Valuación de Instrumentos,Finanzas I/Finanzas I/Finanzas I,Valuación de Opciones/Valuación de Opciones/Valuación de Opciones,/Finanzas I/Finanzas I/Mercados Financieros y Valuación de Instrumentos,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Análisis del México Contemporáneo,83,Problemas Socio-Económicos de México,México: Nación Multicultural,Análisis del México Contemporáneo,Problemas Socio-Económicos de México/Problemas Socio-Económicos de México/Problemas Socio-Económicos de México,México: Nación Multicultural/México: Nación Multicultural/México: Nación Multicultural/México: Nación Multicultural,/Problemas Socio-Económicos de México/Problemas Socio-Económicos de México/Análisis del México Contemporáneo,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Economía,84,Economía I,Economía,Economía I/Economía I/Economía I/Economía I,/Economía I/Economía I/Economía/Economía I,Economía I/Economía I/Economía I,Formación Científica II,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Matemáticas Actuariales del Seguro de Personas I,85,Matemáticas Actuariales del Seguro de Personas I/Matemáticas Actuariales del Seguro de Personas I/Matemáticas Actuariales del Seguro de Personas I/Matemáticas Actuariales del Seguro de Personas I,Matemáticas Actuariales del Seguro de Personas I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría del Riesgo,86,Teoría del Riesgo/Teoría del Riesgo/Teoría del Riesgo/Teoría del Riesgo,Teoría del Riesgo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Productos Financieros Derivados,87,Productos Financieros Derivados I,Productos Financieros Derivados II,Productos Financieros Derivados,Productos Financieros Derivados I/Productos Financieros Derivados I/Productos Financieros Derivados I,Productos Financieros Derivados II/Productos Financieros Derivados II/Productos Financieros Derivados II,/Productos Financieros Derivados I/Productos Financieros Derivados I/Productos Financieros Derivados,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Econometría I,88,Econometría I/Econometría I/Econometría I/Econometría I/Econometría I,Econometría I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Temas Selectos de Economía,89,Economía II,Temas Selectos de Economía,Economía II/Economía II/Economía II/Economía II,/Economía II/Economía II/Temas Selectos de Economía/Economía II,Econometría II/Econometría II/Econometría II/Econometría II/Econometría II,Econometría II,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Demografía,90,Demografía I,Demografía II,Demografía,Demografía Avanzada,Demografía I/Demografía I/Demografía I,Demografía II/Demografía II/Demografía II,/Demografía I/Demografía I/Demografía,/Demografía II/Demografía II/Demografía Avanzada,0,0,0,0,0,0,0,0,0,0,0,0
Introducción a Ciencias de la Computación,91,Introducción a Ciencias de la Computación I,Introducción a Ciencias de la Computación II,Introducción a Ciencias de la Computación,Estructuras de Datos,/Introducción a Ciencias de la Computación I/Introducción a Ciencias de la Computación/Introducción a Ciencias de la Computación I,/Introducción a Ciencias de la Computación II/Estructuras de Datos/Introducción a Ciencias de la Computación II/Estructuras de Datos,Robótica,Robótica/Robótica/Robótica,0,0,0,0,0,0,0,0,0,0,0,0
Seguridad Social,92,Seguridad Social/Seguridad Social/Seguridad Social/Seguridad Social,Seguridad Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Planeación Estratégica,93,Planeación Estratégica/Planeación Estratégica/Planeación Estratégica/Planeación Estratégica,Planeación Estratégica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Administración de Riesgos,94,Administración de Riesgos/Administración de Riesgos/Administración de Riesgos/Administración de Riesgos,Administración de Riesgos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Organización y Arquitectura de Computadoras,95,Arquitectura de Computadoras,Organización y Arquitectura de Computadoras,/Arquitectura de Computadoras/Organización y Arquitectura de Computadoras/Arquitectura de Computadoras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Análisis de Algoritmos,96,Análisis de Algoritmos I,Análisis de Algoritmos II,Análisis de Algoritmos,/Análisis de Algoritmos I/Análisis de Algoritmos/Análisis de Algoritmos I/Análisis de Algoritmos,Análisis de Algoritmos II/Análisis de Algoritmos II/Análisis de Algoritmos II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenguajes de Programación y sus Paradigmas,97,/Lenguajes de Programación y sus Paradigmas/Lenguajes de Programación/Lenguajes de Programación y sus Paradigmas,Lenguajes de Programación y sus Paradigmas,Lenguajes de Programación,Semántica y Verificación/Semántica y Verificación/Semántica y Verificación,Semántica y Verificación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Ciencias de la Computación,98,Seminario de Temas Selectos de Computación,Seminario de Ciencias de la Computación A,Seminario de Ciencias de la Computación B,Seminario de Aplicaciones de Cómputo,Seminario de Computación Teórica,/Seminario de Computación Teórica II/Seminario de Ciencias de la Computación A,/Seminario de Aplicaciones de Cómputo II/Seminario de Ciencias de la Computación A/Seminario de Ciencias de la Computación B,Seminario de Aplicaciones de Cómputo II,Seminario de Sistemas para Cómputo B,Seminario de Computación Teórica II,/Seminario de Aplicaciones de Cómputo/Sistemas de Información Geográfica,Métodos Formales,Administración de Sistemas Unix/Linux,Sistemas de Información Geográfica,/Seminario de Aplicaciones de Cómputo/Seminario de Ciencias de la Computación A,/Seminario de Computación Teórica/Seminario de Ciencias de la Computación A,/Seminario de Sistemas para Cómputo B/Computación Distribuida,/Seminario de Sistemas para Cómputo A/Administración de Sistemas Unix/Linux,Seminario de Sistemas para Cómputo A,0
Modelado y Programación,99,Seminario de Programación,Modelado y Programación,Diseño y Programación Orientada a Objetos,Programación Funcional y Lógica,Programación de Dispositivos Móviles,Programación Declarativa,/Seminario de Programación/Programación de Dispositivos Móviles,Modelado y Programación/Modelado y Programación/Modelado y Programación,/Programación Funcional y Lógica/Programación Declarativa,0,0,0,0,0,0,0,0,0,0,0
Lógica Computacional,100,Análisis Lógico,Lógicas no Clásicas,Lógica Computacional,Lógica Computacional II,/Análisis Lógico/Lógica Computacional,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sistemas Dinámicos Discretos I,101,Sistemas Dinámicos Discretos I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Topología III,102,Topología III,Topología III/Topología III/Topología III/Topología III/Topología III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Álgebra B,103,Seminario de Álgebra B/Seminario de Álgebra B/Seminario de Álgebra B,Seminario de Álgebra B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Programación Lineal,104,Programación Lineal/Programación Lineal/Programación Lineal/Programación Lineal/Programación Lineal/Programación Lineal/Programación Lineal/Programación Lineal,Programación Lineal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuaciones Diferenciales II,105,Ecuaciones Diferenciales II/Ecuaciones Diferenciales II/Ecuaciones Diferenciales II/Ecuaciones Diferenciales II/Ecuaciones Diferenciales II,Ecuaciones Diferenciales II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuaciones Diferenciales Parciales I,106,Ecuaciones Diferenciales Parciales I/Ecuaciones Diferenciales Parciales I/Ecuaciones Diferenciales Parciales I/Ecuaciones Diferenciales Parciales I/Ecuaciones Diferenciales Parciales I,Ecuaciones Diferenciales Parciales I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geometría Moderna II,107,Geometría Moderna II/Geometría Moderna II/Geometría Moderna II,Geometría Moderna II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Geometría B,108,Seminario de Geometría B/Seminario de Geometría B/Seminario de Geometría B,Seminario de Geometría B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teoría de las Decisiones,109,Teoría de las Decisiones/Teoría de las Decisiones/Teoría de las Decisiones/Teoría de las Decisiones/Teoría de las Decisiones/Teoría de las Decisiones,Teoría de las Decisiones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario de Análisis Combinatorio,110,Seminario de Análisis Combinatorio/Seminario de Análisis Combinatorio/Seminario de Análisis Combinatorio/Seminario de Análisis Combinatorio/Seminario de Análisis Combinatorio,Seminario de Análisis Combinatorio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lógica Matemática II,111,Lógica Matemática II/Lógica Matemática II/Lógica Matemática II/Lógica Matemática II/Lógica Matemática II/Lógica Matemática II,Lógica Matemática II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inteligencia Artificial,112,Inteligencia Artificial/Inteligencia Artificial/Inteligencia Artificial/Inteligencia Artificial/Inteligencia Artificial/Inteligencia Artificial,Inteligencia Artificial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Compiladores,113,Compiladores/Compiladores/Compiladores,Compiladores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Seminario Matemáticas Aplicadas II,114,Seminario Matemáticas Aplicadas II/Seminario Matemáticas Aplicadas II/Seminario Matemáticas Aplicadas II,Seminario Matemáticas Aplicadas II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Legislación en Seguro Privado y Social,115,Legislación en Seguro Privado y Social/Legislación en Seguro Privado y Social/Legislación en Seguro Privado y Social/Legislación en Seguro Privado y Social,Legislación en Seguro Privado y Social,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diseño de Interfaces de Usuario,116,Diseño de Sistemas Digitales,Diseño de interfaces,Diseño de Interfaces de Usuario,Diseño de Sistemas Digitales/Diseño de Sistemas Digitales/Diseño de Sistemas Digitales,/Diseño de interfaces/Diseño de Interfaces de Usuario,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sistemas Operativos,117,Sistemas Operativos/Sistemas Operativos/Sistemas Operativos/Sistemas Operativos,Sistemas Operativos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
